asset_uuid,label,manifest_uri,iiif_image_uri
b1KBNUgYQFOzUfBRHOvQN0XR,Oud-Gothische lettertekens,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/b1KBNUgYQFOzUfBRHOvQN0XR.json,https://dams1.antwerpen.be/iiif/b1KBNUgYQFOzUfBRHOvQN0XR/full/full/0/default.jpg
s2MTcIjZVbSCFDiVQR9bgooF,"Sierinitiaal C, textura (21 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/s2MTcIjZVbSCFDiVQR9bgooF.json,https://dams1.antwerpen.be/iiif/s2MTcIjZVbSCFDiVQR9bgooF/full/full/0/default.jpg
pSRPPDKpOYrSnM33krZN6iiL,"Sierinitiaal E, romein",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/pSRPPDKpOYrSnM33krZN6iiL.json,https://dams1.antwerpen.be/iiif/pSRPPDKpOYrSnM33krZN6iiL/full/full/0/default.jpg
QZlQWXRMeQDUGZOsJf3a6HiU,"Halimium pauanum, syn. Cistus cheiranthoides",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/QZlQWXRMeQDUGZOsJf3a6HiU.json,https://dams1.antwerpen.be/iiif/QZlQWXRMeQDUGZOsJf3a6HiU/full/full/0/default.jpg
Y12QJUkXM7NAuZnZSC4UrWum,Emblematische voorstelling: Decus non invidet hosti,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/Y12QJUkXM7NAuZnZSC4UrWum.json,https://dams1.antwerpen.be/iiif/Y12QJUkXM7NAuZnZSC4UrWum/full/full/0/default.jpg
r9IJDKJTlgdgXGOMV5yf6Rin,Stokroos [Alcea rosea],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/r9IJDKJTlgdgXGOMV5yf6Rin.json,https://dams1.antwerpen.be/iiif/r9IJDKJTlgdgXGOMV5yf6Rin/full/full/0/default.jpg
r2UL4elXMzWNODTU7rq0oAQ9,"Portret van keizer Martinianus, die regeerde 324 (toonblok)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/r2UL4elXMzWNODTU7rq0oAQ9.json,https://dams1.antwerpen.be/iiif/r2UL4elXMzWNODTU7rq0oAQ9/full/full/0/default.jpg
c1FAebaoDPnkYnVQNGJ3VfUj,Grote wasbloem [Cerinthe major],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/c1FAebaoDPnkYnVQNGJ3VfUj.json,https://dams1.antwerpen.be/iiif/c1FAebaoDPnkYnVQNGJ3VfUj/full/full/0/default.jpg
f1hFqCfbQcgSAedU3sVtu9CL,Graskers [Lepidium graminifolium],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/f1hFqCfbQcgSAedU3sVtu9CL.json,https://dams1.antwerpen.be/iiif/f1hFqCfbQcgSAedU3sVtu9CL/full/full/0/default.jpg
TRAXHMg1FaZJQFbNoFRYr7ls,Vignet: sierlijst met heilige met kruisbeeld (boven),https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/TRAXHMg1FaZJQFbNoFRYr7ls.json,https://dams1.antwerpen.be/iiif/TRAXHMg1FaZJQFbNoFRYr7ls/full/full/0/default.jpg
t1WCPShQIYjLXmFpcX6Mg2Ou,"Initiaal U, unciaal",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/t1WCPShQIYjLXmFpcX6Mg2Ou.json,https://dams1.antwerpen.be/iiif/t1WCPShQIYjLXmFpcX6Mg2Ou/full/full/0/default.jpg
u2SRYHYpqolNJZ9ZnZqzB7yW,"Initiaal L, romein",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/u2SRYHYpqolNJZ9ZnZqzB7yW.json,https://dams1.antwerpen.be/iiif/u2SRYHYpqolNJZ9ZnZqzB7yW/full/full/0/default.jpg
z1JUQXWZVRUqWKqUibx2dVMD,"Sierinitiaal C, romein (16 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/z1JUQXWZVRUqWKqUibx2dVMD.json,https://dams1.antwerpen.be/iiif/z1JUQXWZVRUqWKqUibx2dVMD/full/full/0/default.jpg
FeIHl9XeXCUmFMUFUclmSTtS,"Sierinitiaal N, romein",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/FeIHl9XeXCUmFMUFUclmSTtS.json,https://dams1.antwerpen.be/iiif/FeIHl9XeXCUmFMUFUclmSTtS/full/full/0/default.jpg
naV5cadLdNZkkVXCVIAuljT8,"Sierinitiaal N, romein (23 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/naV5cadLdNZkkVXCVIAuljT8.json,https://dams1.antwerpen.be/iiif/naV5cadLdNZkkVXCVIAuljT8/full/full/0/default.jpg
a2YkwaY4sQUNQXPuS5ZIaxhM,Gouden histamenon keizer Basileios II,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/a2YkwaY4sQUNQXPuS5ZIaxhM.json,https://dams1.antwerpen.be/iiif/a2YkwaY4sQUNQXPuS5ZIaxhM/full/full/0/default.jpg
GYYZLNfmYnYcKQKQnk2b9pHV,Soort raphiapalm [Raphia vinifera],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/GYYZLNfmYnYcKQKQnk2b9pHV.json,https://dams1.antwerpen.be/iiif/GYYZLNfmYnYcKQKQnk2b9pHV/full/full/0/default.jpg
Y1JLWaIbUfdeVyKMiJcxth7O,"Initiaal T, romein",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/Y1JLWaIbUfdeVyKMiJcxth7O.json,https://dams1.antwerpen.be/iiif/Y1JLWaIbUfdeVyKMiJcxth7O/full/full/0/default.jpg
eXXfnAGeyZXOQpNgKgdcD9Kx,"Sierinitiaal B, romein (9 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/eXXfnAGeyZXOQpNgKgdcD9Kx.json,https://dams1.antwerpen.be/iiif/eXXfnAGeyZXOQpNgKgdcD9Kx/full/full/0/default.jpg
c2ehtPLgDNNYVN7Wap4azyI1,Wilde kamperfoelie [Lonicera periclymenum],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/c2ehtPLgDNNYVN7Wap4azyI1.json,https://dams1.antwerpen.be/iiif/c2ehtPLgDNNYVN7Wap4azyI1/full/full/0/default.jpg
W2JQgURMfIZqIJGChReuOTJ8,"Sierinitiaal T, romein",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/W2JQgURMfIZqIJGChReuOTJ8.json,https://dams1.antwerpen.be/iiif/W2JQgURMfIZqIJGChReuOTJ8/full/full/0/default.jpg
y1TogSZPHHofjmHRBdbbDgWb,Emblematische voorstelling: Amoris ignis perpetuus [Het eeuwige vuur van de liefde],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/y1TogSZPHHofjmHRBdbbDgWb.json,https://dams1.antwerpen.be/iiif/y1TogSZPHHofjmHRBdbbDgWb/full/full/0/default.jpg
q2LPflIMBW8LJCOpf71dn4mP,Diagram geometrische optica (p. 329 en 330) met een decoratief bloemmotief,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/q2LPflIMBW8LJCOpf71dn4mP.json,https://dams1.antwerpen.be/iiif/q2LPflIMBW8LJCOpf71dn4mP/full/full/0/default.jpg
ekdcgLRCNlcTteLaHMGeiTdC,"Initiaal I, romein",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/ekdcgLRCNlcTteLaHMGeiTdC.json,https://dams1.antwerpen.be/iiif/ekdcgLRCNlcTteLaHMGeiTdC/full/full/0/default.jpg
FKTMIgLNZThCQqcLnQRuS5AO,"Sierinitiaal Q, romein (13 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/FKTMIgLNZThCQqcLnQRuS5AO.json,https://dams1.antwerpen.be/iiif/FKTMIgLNZThCQqcLnQRuS5AO/full/full/0/default.jpg
yNnwSUXtsCgIaTHIZwVnjIuV,Drypis spinosa,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/yNnwSUXtsCgIaTHIZwVnjIuV.json,https://dams1.antwerpen.be/iiif/yNnwSUXtsCgIaTHIZwVnjIuV/full/full/0/default.jpg
