asset_uuid,title,identifier,publisher,manifest_uri
CTLkEfZ2qVIIb9f7SXg58vD3,Plato,RH.P.0006,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/CTLkEfZ2qVIIb9f7SXg58vD3.json
i1YYsqcivaaKXO373AHoB8A2,De tijd besnijdt de vleugel der Liefde,RH.P.0200,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/i1YYsqcivaaKXO373AHoB8A2.json
rifHynbWPWeICimhU6E6TEBq,Abraham en Melchisedech,RH.P.0432,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/rifHynbWPWeICimhU6E6TEBq.json
Xcta8gvPKXVULsSkts2k8HyB,De triomf van Jozef,RH.P.0471,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/Xcta8gvPKXVULsSkts2k8HyB.json
AYoseaMVomTNTXlMQEYa1xkn,Maria Magdalena,RH.P.0490,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/AYoseaMVomTNTXlMQEYa1xkn.json
b2MFOqdNAMGMJNbLnrdg4NOg,De heilige Johannes Chrysostomus,RH.P.0499,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/b2MFOqdNAMGMJNbLnrdg4NOg.json
X1gQJFbUYnDJbDJcdhiau51J,De heilige Barbara achtervolgd door haar vader,RH.P.0500,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/X1gQJFbUYnDJbDJcdhiau51J.json
J2TZUhcjCVYgGecETUlTLAeN,Dubbelportret van Peter Paul Rubens en Anthony van Dyck,RH.P.0506,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/J2TZUhcjCVYgGecETUlTLAeN.json
s2TTtAaJElUXbwVdRREzLa8x,De Visitatie | De Kruisafneming | De Presentatie van Christus in de tempel,RH.P.0587,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/s2TTtAaJElUXbwVdRREzLa8x.json
R2BsifISSYVXITWIiikVDaRe,"Portret van Isabella van Bourbon, echtgenote van koning Filips IV van Spanje",RH.P.0654,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/R2BsifISSYVXITWIiikVDaRe.json
C2MKawTSim9kaMdSBapQ8sDh,Samson en Delila,RH.P.0667,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/C2MKawTSim9kaMdSBapQ8sDh.json
N1BBbfMPdjcSSeQYtFAoj4zY,Promotieprent met de heilige Franciscus met drie globes op de schouders,RH.P.0736,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/N1BBbfMPdjcSSeQYtFAoj4zY.json
Y1cVvqacmrrWuSe1jeI4qxEc,De marteling van de heilige Laurentius,RH.P.0753,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/Y1cVvqacmrrWuSe1jeI4qxEc.json
UicsGFNKhiWRUJcefZ1p3KZN,Val van de verdoemden engelen,RH.P.0757,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/UicsGFNKhiWRUJcefZ1p3KZN.json
K2SdkMcdXmTOMcfJxRIieIou,Achilles aan het hof van Lycomedes,RH.P.0769,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/K2SdkMcdXmTOMcfJxRIieIou.json
j1IgZdPdhylSKMdt9nHXMvHd,Aanbidding der Koningen,RH.P.0896,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/j1IgZdPdhylSKMdt9nHXMvHd.json
fMqfaZiEZJMWFEhfkF1DQSVT,Christus aan het kruis tussen de twee gekruisigde misdadigers,RH.P.0927,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/fMqfaZiEZJMWFEhfkF1DQSVT.json
O1MpIST5WQJwzVKXmi2K02Y6,Heilige Familie met Elisabeth en Johannes de Doper als kind,RH.P.0959,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/O1MpIST5WQJwzVKXmi2K02Y6.json
u1rWOarNeUJNPhEfcMVvPtPF,De kruisdraging,RH.P.0976,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/u1rWOarNeUJNPhEfcMVvPtPF.json
K1lDgLe6cnmTpSYYSrHQMKM3,Verschijning van de engelen voor de H. Vrouwen bij het graf van Christus,RH.P.0982,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/K1lDgLe6cnmTpSYYSrHQMKM3.json
p1MYFucR7JxOVEageZVlh1Fo,De bekering van Paulus,RH.P.1026,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/p1MYFucR7JxOVEageZVlh1Fo.json
X1JUnsFTfNlediYUkiVFICS1,Rubens with his Wife and Child,RH.P.0199,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/X1JUnsFTfNlediYUkiVFICS1.json
KJWxHYMTKt3L4OGUPvtULs87,"""Rubens three children",RH.P.0302,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/KJWxHYMTKt3L4OGUPvtULs87.json
M1GASdURJcQFfcLDZQESbCLv,Petrus Paulus Rubens,RH.P.0303,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/M1GASdURJcQFfcLDZQESbCLv.json
ZEbSXeQN9TZqggiJncHd1Xxi,"""Ecce Angelus... super Puerum",RH.P.0304,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/ZEbSXeQN9TZqggiJncHd1Xxi.json
ii8Xhk9iYhQh9EOGsRowe0Co,"Jésus a diabolo tentatur. Evang.: Math. 4Vs.=1,4",RH.P.0305,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/ii8Xhk9iYhQh9EOGsRowe0Co.json
