asset_uuid,title,identifier,publisher,manifest_uri
CTLkEfZ2qVIIb9f7SXg58vD3,Plato,RH.P.0006,Rubenshuis,https://dams.antwerpen.be/iiif/CTLkEfZ2qVIIb9f7SXg58vD3/manifest.json
i1YYsqcivaaKXO373AHoB8A2,De tijd besnijdt de vleugel der Liefde,RH.P.0200,Rubenshuis,https://dams.antwerpen.be/iiif/i1YYsqcivaaKXO373AHoB8A2/manifest.json
rifHynbWPWeICimhU6E6TEBq,Abraham en Melchisedech,RH.P.0432,Rubenshuis,https://dams.antwerpen.be/iiif/rifHynbWPWeICimhU6E6TEBq/manifest.json
Xcta8gvPKXVULsSkts2k8HyB,De triomf van Jozef,RH.P.0471,Rubenshuis,https://dams.antwerpen.be/iiif/Xcta8gvPKXVULsSkts2k8HyB/manifest.json
AYoseaMVomTNTXlMQEYa1xkn,Maria Magdalena,RH.P.0490,Rubenshuis,https://dams.antwerpen.be/iiif/AYoseaMVomTNTXlMQEYa1xkn/manifest.json
b2MFOqdNAMGMJNbLnrdg4NOg,De heilige Johannes Chrysostomus,RH.P.0499,Rubenshuis,https://dams.antwerpen.be/iiif/b2MFOqdNAMGMJNbLnrdg4NOg/manifest.json
X1gQJFbUYnDJbDJcdhiau51J,De heilige Barbara achtervolgd door haar vader,RH.P.0500,Rubenshuis,https://dams.antwerpen.be/iiif/X1gQJFbUYnDJbDJcdhiau51J/manifest.json
J2TZUhcjCVYgGecETUlTLAeN,Dubbelportret van Peter Paul Rubens en Anthony van Dyck,RH.P.0506,Rubenshuis,https://dams.antwerpen.be/iiif/J2TZUhcjCVYgGecETUlTLAeN/manifest.json
s2TTtAaJElUXbwVdRREzLa8x,De Visitatie | De Kruisafneming | De Presentatie van Christus in de tempel,RH.P.0587,Rubenshuis,https://dams.antwerpen.be/iiif/s2TTtAaJElUXbwVdRREzLa8x/manifest.json
R2BsifISSYVXITWIiikVDaRe,"Portret van Isabella van Bourbon, echtgenote van koning Filips IV van Spanje",RH.P.0654,Rubenshuis,https://dams.antwerpen.be/iiif/R2BsifISSYVXITWIiikVDaRe/manifest.json
C2MKawTSim9kaMdSBapQ8sDh,Samson en Delila,RH.P.0667,Rubenshuis,https://dams.antwerpen.be/iiif/C2MKawTSim9kaMdSBapQ8sDh/manifest.json
